,id,title,popularity,vote_count,vote_average,original_language,release_date
6,591629,Lady Driver,267.579,0,0.0,en,2020-12-03
10,611605,1BR,220.10299999999998,0,0.0,en,2020-11-26
19,652004,The Wolf of Snow Hollow,80.518,0,0.0,en,2020-12-10
26,458576,Monster Hunter,53.043,0,0.0,en,2020-12-03
31,521007,Superintelligence,33.184,0,0.0,en,2020-11-26
39,680601,Up From the Streets - New Orleans: The City of Music,39.108000000000004,0,0.0,en,2020-11-19
41,632322,All My Life,19.572,0,0.0,en,2020-10-23
42,660637,Dance of the 41,23.340999999999998,0,0.0,es,2020-11-19
44,654028,The Christmas Chronicles 2,16.038,0,0.0,en,2020-11-25
46,615667,Ma Rainey's Black Bottom,17.266,0,0.0,en,2020-11-25
49,314514,El Viaje de Ana,24.098000000000003,0,0.0,en,2020-11-18
52,622977,The Last Vermeer,20.079,0,0.0,en,2020-11-20
55,611213,The Prom,15.991,0,0.0,en,2020-12-02
57,664162,A Rebel Born,15.751,0,0.0,en,2020-12-03
58,502033,Sound of Metal,15.446,0,0.0,en,2020-11-20
63,426793,Parallel,16.473,0,0.0,en,2020-12-11
64,723343,Date A Bullet: Nightmare or Queen,10.225,0,0.0,ja,2020-11-13
68,718356,Bela Shuru,17.311,0,0.0,en,2020-11-20
70,652962,Half Brothers,15.025,0,0.0,en,2020-12-04
71,615681,Carmen Sandiego,12.011,0,0.0,en,2020-12-01
74,609760,The Collected,12.880999999999998,0,0.0,en,2020-11-26
75,738894,Dear Werner (Walking on Cinema),15.116,0,0.0,en,2020-11-20
76,755862,Mater,16.734,0,0.0,fr,2020-11-18
79,712178,Gagarine,16.39,0,0.0,fr,2020-11-18
82,683535,Before The Wrath,11.762,0,0.0,en,2020-11-26
83,755881,En attendant la neige,15.607000000000001,0,0.0,fr,2020-11-18
86,727097,Archenemy,12.867,0,0.0,en,2020-12-11
87,646593,Wander,10.985,0,0.0,en,2020-12-04
88,589456,Find Your Voice,10.972000000000001,0,0.0,cn,2020-11-13
89,592777,Should the Wind Drop,15.249,0,0.0,fr,2020-11-18
90,745699,Family,15.165999999999999,0,0.0,nl,2020-11-18
91,614911,The Midnight Sky,13.128,0,0.0,en,2020-12-10
92,514466,Supercool,9.298,0,0.0,en,2020-11-28
93,744080,Dear Santa,11.31,0,0.0,en,2020-10-08
94,353047,Zappa,14.825999999999999,0,0.0,en,2020-11-27
96,702621,Lullaby,10.66,0,0.0,en,2020-12-01
97,718416,Smiley Face Killers,10.456,0,0.0,en,2020-12-08
99,713479,Creatures,11.872,0,0.0,en,2020-12-01
101,522772,Sk8r Grrl,12.022,0,0.0,en,2020-11-22
102,761457,Último Pesadelo,14.185,0,0.0,pt,2020-11-18
104,627103,"Love, Weddings and Other Disasters",10.852,0,0.0,en,2020-12-04
107,717380,SIX60: Till the Lights Go Out,11.555,0,0.0,en,2020-11-26
108,532961,Looking for Witch Apprentices,9.782,0,0.0,ja,2020-11-13
109,581734,Nomadland,13.468,0,0.0,en,2020-11-30
110,642208,Supernova,9.062000000000001,0,0.0,en,2020-11-27
114,633908,The Stand In,12.312999999999999,0,0.0,en,2020-12-03
115,628333,Wild Mountain Thyme,12.874,0,0.0,en,2020-12-11
118,655831,Tarung Sarung,12.23,0,0.0,id,2020-11-19
121,650747,Unfortunate stories,12.079,0,0.0,es,2020-11-19
122,754929,The Loss Adjuster,10.665999999999999,0,0.0,en,2020-11-27
125,572488,A Christmas Carol,10.626,0,0.0,en,2020-12-04
126,760054,Silent Night,11.548,0,0.0,en,2020-12-11
127,759306,Riam Sing,11.659,0,0.0,th,2020-11-19
128,642114,Deadly Illusions,11.491,0,0.0,ru,2020-11-19
129,566135,Tezuka's Barbara,11.448,0,0.0,ja,2020-11-20
130,583754,Young Blooded Wine,11.290999999999999,0,0.0,ru,2020-11-19
131,583757,Princess of the Row,9.078,0,0.0,en,2020-11-27
134,611114,I Met a Girl,7.742999999999999,0,0.0,en,2020-11-26
135,661566,Numbers,10.805,0,0.0,uk,2020-11-19
136,760510,추억의 검정고무신,10.804,0,0.0,ko,2020-11-19
137,530368,Spirál,10.769,0,0.0,hu,2020-11-19
138,757910,Malou's Christmas,10.748,0,0.0,da,2020-11-19
139,747604,The Carthusian Cloistered Monastery,10.7,0,0.0,ko,2020-11-19
141,630004,Way Down,8.962,0,0.0,en,2020-11-26
142,762658,Caravage & Moi,10.543,0,0.0,fr,2020-11-18
143,757554,Intruders,10.485999999999999,0,0.0,ru,2020-11-19
144,739267,Classmates Minus,9.922,0,0.0,zh,2020-11-20
145,718118,Bhotbhoti,10.352,0,0.0,bn,2020-11-19
146,759130,Glitter Land,7.359,0,0.0,en,2020-11-22
147,713946,Stand Up,9.148,0,0.0,fi,2020-11-20
148,760726,Wintersong,9.149,0,0.0,es,2020-11-20
150,760556,Lost at Christmas,9.948,0,0.0,en,2020-12-04
151,498402,The Power of Love (Famous),5.632000000000001,0,0.0,fr,2020-11-11
152,575072,Run,9.747,0,0.0,ru,2020-11-19
153,625658,Fan Girl,8.07,0,0.0,tl,2020-11-20
155,570871,Final Voyage,8.181000000000001,0,0.0,de,2020-12-03
156,730596,Benevolence,9.468,0,0.0,en,2020-11-20
157,540023,Wander Darkly,9.446,0,0.0,en,2020-12-11
161,754899,Babi,9.149,0,0.0,zh,2020-11-20
162,761514,Anatomía de un Dandy,8.527999999999999,0,0.0,es,2020-11-20
163,631884,Happy Suicide,7.735,0,0.0,en,2020-12-11
164,663870,Riders of Justice,8.917,0,0.0,da,2020-11-19
168,733513,Oslo Copenhagen,7.7379999999999995,0,0.0,no,2020-11-20
171,653708,Herself,7.474,0,0.0,en,2020-11-26
173,651589,Hasta el cielo,8.009,0,0.0,es,2020-11-27
174,750484,Bo Bear Celebrates Christmas,8.289,0,0.0,no,2020-11-20
176,751163,Magnezja,8.035,0,0.0,pl,2020-11-20
179,761317,Caminhos Encobertos,7.67,0,0.0,pt,2020-11-20
180,743417,Breakout Brothers,7.622999999999999,0,0.0,en,2020-12-03
181,696177,La Femme Anjola,5.643,0,0.0,en,2020-12-01
182,547565,The Night House,6.4239999999999995,0,0.0,en,2020-10-01
184,637202,Fate/Grand Order The Movie Divine Realm of the Round Table: Camelot - Wandering: Agateram,5.297999999999999,0,0.0,ja,2020-12-05
185,667935,There Is No Evil,3.177,0,0.0,fa,2020-12-03
186,762311,Sisters,6.02,0,0.0,en,2020-11-22
187,605680,Collectors,5.414,0,0.0,ko,2020-11-04
189,718084,The Last Hillbilly,4.961,0,0.0,en,2020-12-02
191,763180,Esquirlas,4.562,0,0.0,en,2020-11-23
192,633515,The Forgotten Battle,5.457000000000001,0,0.0,nl,2020-11-26
194,583293,Complete Strangers,6.26,0,0.0,en,2020-12-01
195,741032,Danyka,6.292000000000001,0,0.0,en,2020-11-26
196,653756,The Mole Agent,4.199,0,0.0,es,2020-12-11
198,745589,Villa caprice,4.251,0,0.0,fr,2020-11-25
